stop_code,stop_name,stop_lat,stop_lon,zone_id
51037,Southbound Renfrew St @ E Hastings St,49.280776,-123.044219,BUS ZN
59916,Eastbound Pacific Blvd @ Boathouse Mews,49.27421,-123.117633,BUS ZN
59924,Southbound Quebec St @ Keefer St,49.279008,-123.102218,BUS ZN
59918,Eastbound Pacific Blvd @ Marinaside Cres,49.274212,-123.114446,BUS ZN
50016,Yaletown-Roundhouse Station @ Bay 4,49.274036,-123.120842,BUS ZN
51038,Southbound Renfrew St @ E Georgia St,49.277967,-123.044227,BUS ZN
58169,Eastbound Keefer Place @ Taylor St,49.279326,-123.105758,BUS ZN
59914,Westbound Pacific Blvd @ Cambie St,49.274606,-123.119683,BUS ZN
59926,Eastbound National Ave @ Quebec St,49.27487,-123.101464,BUS ZN
59884,Westbound Southridge Dr @ 6600 Block,49.204888,-122.95922,BUS ZN
51039,Southbound Renfrew St @ Venables St,49.276141,-123.044245,BUS ZN
59925,Northbound Quebec St @ Terminal Ave,49.273368,-123.101534,BUS ZN
51913,Westbound W 4th Ave @ Blanca St,49.269195,-123.215565,BUS ZN
59927,Northbound Quebec St @ National Ave,49.275246,-123.101804,BUS ZN
59885,Eastbound Southridge Dr @ 6600 Block,49.204135,-122.957414,BUS ZN
59814,Northbound Roseberry Ave @ Keith St,49.207207,-123.015048,BUS ZN
59985,Southbound 80 St @ 4700 Block,49.087385,-123.001796,BUS ZN
59928,Eastbound National Ave @ Main St,49.274846,-123.099334,BUS ZN
51133,Westbound Keefer St @ Columbia St,49.279267,-123.102946,BUS ZN
59986,Westbound 28 Ave @ 200 St,49.052926,-122.670019,BUS ZN
51040,Southbound Renfrew St @ William St,49.273888,-123.044287,BUS ZN
59987,Westbound 28 Ave @ 197A St,49.052921,-122.677559,BUS ZN
59988,Eastbound 24 Ave @ 196 St,49.045605,-122.679872,BUS ZN
59992,Northbound Pat Quinn Way @ Expo Blvd,49.278392,-123.107518,BUS ZN
50105,Westbound Cornwall Ave @ Balsam St,49.272731,-123.160216,BUS ZN
51041,Southbound Renfrew St @ Kitchener St,49.271997,-123.04431,BUS ZN
51042,Southbound Renfrew St @ E 1st Ave,49.269159,-123.044397,BUS ZN
60014,Westbound Expo Blvd @ Nelson St,49.274765,-123.116234,BUS ZN
51925,Eastbound NW Marine Dr @ West Mall,49.268769,-123.258526,BUS ZN
59958,Northbound Minoru Blvd @ Granville Ave,49.163125,-123.140081,BUS ZN
51043,Southbound Renfrew St @ E 4th Ave,49.266425,-123.044405,BUS ZN
59959,Northbound Minoru Blvd @ Minoru Gate,49.165311,-123.140881,BUS ZN
60181,Northbound Minoru Blvd @ Murdoch Ave,49.167451,-123.140099,BUS ZN
59962,Northbound Minoru Blvd @ Westminster Hwy,49.170638,-123.140054,BUS ZN
51044,Southbound Renfrew St @ E 5th Ave,49.265468,-123.044419,BUS ZN
59974,Northbound Great Canadian Way @ Beckwith Rd,49.193077,-123.124243,BUS ZN
